2342
int,int,int,int,float,float
1,2,2,37,0.598,117.508
2,2,2,37,0.817,124.229
1,2,2,39,0.976,122.360
0,2,2,40,0.773,126.830
1,2,2,40,0.976,120.132
0,2,2,41,0.432,110.442
0,2,2,43,1.144,111.808
0,2,2,45,1.194,109.231
1,2,2,45,1.062,113.984
0,2,2,46,1.005,121.534
0,2,2,55,0.995,121.154
0,2,2,56,1.234,108.879
0,2,2,62,0.808,135.269
1,2,2,63,0.948,118.277
1,2,2,64,0.866,123.528
2,2,2,64,0.859,121.998
1,2,2,67,1.132,112.136
0,2,2,72,0.770,134.269
1,2,2,81,1.078,116.541
2,3,2,3,0.853,120.370
2,3,2,4,0.878,119.739
1,3,2,5,0.487,117.291
1,3,2,6,1.142,116.738
2,3,2,9,1.005,117.648
1,3,2,10,1.039,115.698
1,3,2,11,1.150,112.876
1,3,2,12,0.997,114.732
1,3,2,13,0.946,116.643
1,3,2,14,0.891,117.111
1,3,2,15,1.023,114.635
1,3,2,20,0.870,119.265
1,3,2,22,0.816,123.510
1,3,2,30,1.025,112.209
1,3,2,34,1.099,111.723
1,3,2,35,1.141,118.767
2,3,2,37,0.868,119.758
1,3,2,40,1.024,116.408
1,3,2,41,0.855,119.505
1,3,2,43,1.046,114.257
1,3,2,45,1.077,112.401
1,3,2,46,1.066,114.841
2,4,2,4,0.832,124.158
0,4,2,5,0.573,121.000
1,4,2,5,0.545,120.000
2,4,2,9,0.973,120.845
1,4,2,15,0.906,122.447
1,4,2,18,0.947,119.537
1,4,2,30,0.819,126.938
2,4,2,37,0.864,121.093
1,4,2,40,1.083,114.355
1,4,2,45,1.158,109.426
2,4,2,63,0.860,122.442
0,5,2,5,0.365,119.523
0,5,2,6,0.589,108.757
1,5,2,9,0.643,117.000
0,5,2,10,0.667,114.859
0,5,2,11,0.795,108.186
0,5,2,12,0.622,110.650
0,5,2,13,0.566,113.513
0,5,2,15,0.546,119.562
0,5,2,17,0.492,124.000
0,5,2,18,0.548,119.053
0,5,2,22,0.534,120.000
0,5,2,25,0.395,124.000
0,5,2,30,0.572,120.000
0,5,2,35,0.682,124.164
1,5,2,37,0.491,117.423
1,5,2,39,0.655,115.724
0,5,2,40,0.568,112.322
0,5,2,41,0.294,123.706
0,5,2,45,0.728,107.774
0,5,2,55,0.651,116.000
0,5,2,62,0.568,125.344
1,5,2,63,0.550,120.000
1,5,2,64,0.546,120.000
0,5,2,72,0.531,122.009
1,5,2,81,0.665,115.000
1,6,2,9,1.214,120.520
0,6,2,10,1.311,115.921
0,6,2,22,1.080,120.560
0,6,2,35,1.172,132.391
1,6,2,37,1.198,114.441
0,6,2,40,1.239,119.073
0,6,2,45,1.637,102.438
1,9,2,10,1.098,119.802
1,9,2,15,0.915,127.574
2,9,2,37,0.981,119.536
1,9,2,40,0.922,130.521
0,10,2,12,1.144,112.723
0,10,2,15,1.078,117.519
0,10,2,25,1.144,100.818
1,10,2,37,1.021,117.139
0,10,2,40,0.988,126.034
0,10,2,41,0.951,120.000
0,12,2,12,1.012,119.105
0,12,2,17,1.110,114.206
0,12,2,18,1.201,110.553
0,12,2,19,0.704,126.646
0,12,2,20,0.903,120.563
0,12,2,30,0.892,122.753
1,12,2,37,0.976,116.136
0,12,2,45,1.076,115.543
0,13,2,18,1.132,113.616
0,15,2,15,0.996,123.027
0,15,2,35,0.950,133.654
1,15,2,37,1.007,115.757
0,15,2,40,0.895,128.924
0,17,2,17,1.051,117.955
1,18,2,37,1.183,106.608
0,22,2,22,0.841,122.108
3,22,2,22,0.180,58.963
1,22,2,37,0.806,124.693
1,30,2,37,0.849,123.816
1,35,2,37,0.991,128.032
0,40,2,40,0.949,128.436
0,40,2,56,1.072,120.987
1,40,2,63,0.922,124.268
1,40,2,64,0.955,121.881
0,40,2,72,0.820,135.317
0,45,2,45,1.284,108.095
2,64,2,64,0.888,120.342
0,0,3,0,0.000,117.300
1,0,3,0,0.000,115.800
4,0,3,0,0.000,90.800
7,0,3,0,0.000,91.100
8,0,3,0,0.000,88.900
0,1,3,1,1.151,118.016
1,1,3,2,1.106,116.853
1,1,3,3,1.214,114.612
0,1,3,5,0.808,117.280
0,1,3,6,1.043,109.716
0,1,3,7,0.938,124.410
0,1,3,9,0.978,119.788
1,1,3,9,1.038,115.132
0,1,3,10,0.984,112.735
0,1,3,12,1.007,113.972
0,1,3,15,1.024,113.612
0,1,3,16,0.949,119.986
0,1,3,18,0.732,134.097
0,1,3,20,0.830,120.312
0,1,3,22,0.928,115.001
0,1,3,35,1.058,122.808
1,1,3,37,1.051,115.191
1,1,3,39,1.178,107.895
0,1,3,40,0.979,118.457
0,1,3,41,0.897,116.681
0,1,3,43,1.046,113.731
0,1,3,45,1.132,109.019
0,1,3,51,1.160,116.573
0,1,3,53,1.052,115.065
0,1,3,54,1.135,111.322
1,1,3,58,1.162,108.129
0,1,3,62,1.119,111.523
1,1,3,63,0.909,117.001
1,1,3,64,0.887,118.253
0,1,3,67,1.142,110.666
0,1,3,74,1.010,116.851
0,1,3,75,0.646,128.037
2,2,3,2,0.976,112.562
6,2,3,2,0.157,62.792
2,2,3,3,0.957,113.239
1,2,3,5,0.901,115.350
1,2,3,6,0.932,106.510
1,2,3,7,0.936,122.623
1,2,3,9,0.831,122.253
2,2,3,9,1.120,111.408
1,2,3,10,1.042,111.721
1,2,3,12,0.901,120.769
1,2,3,15,1.057,112.105
1,2,3,16,0.881,124.850
1,2,3,22,0.969,113.027
1,2,3,25,0.853,109.794
2,2,3,37,0.973,112.935
2,2,3,39,1.197,107.592
1,2,3,40,0.910,123.437
1,2,3,43,1.105,111.169
1,2,3,53,1.082,114.032
1,2,3,54,1.012,118.588
1,2,3,55,1.186,107.278
1,2,3,56,1.151,108.909
2,2,3,63,0.918,116.947
2,2,3,64,1.033,110.084
1,2,3,67,1.022,117.597
2,3,3,3,0.822,121.775
8,3,3,3,1.280,89.965
1,3,3,5,0.943,113.762
1,3,3,6,0.935,103.030
1,3,3,7,0.919,117.024
1,3,3,9,1.050,115.704
1,3,3,10,1.129,110.421
1,3,3,12,1.053,111.492
1,3,3,15,1.390,97.562
1,3,3,16,1.092,111.888
1,3,3,20,0.977,110.910
1,3,3,22,1.010,110.295
8,3,3,30,1.353,87.789
2,3,3,37,0.932,114.949
2,3,3,39,1.237,105.384
1,3,3,40,1.003,117.124
1,3,3,41,0.790,124.361
1,3,3,45,0.919,121.023
1,3,3,53,1.170,109.169
2,3,3,63,0.981,112.685
2,3,3,64,0.880,118.840
1,3,3,67,1.119,111.860
1,4,3,6,1.269,111.750
1,4,3,7,1.126,120.852
1,4,3,9,1.192,109.833
2,4,3,37,0.964,114.081
0,5,3,5,0.594,116.699
0,5,3,6,0.819,108.253
0,5,3,7,0.670,123.439
0,5,3,9,0.623,119.491
1,5,3,9,0.638,117.168
0,5,3,10,0.874,111.761
0,5,3,16,0.522,124.405
1,5,3,37,0.564,116.400
0,5,3,40,0.959,111.684
0,5,3,53,0.644,118.000
0,5,3,54,0.816,115.471
1,5,3,63,0.559,118.000
1,5,3,64,0.566,117.000
0,5,3,67,0.700,113.698
0,6,3,6,1.678,109.094
0,6,3,7,1.155,124.425
0,6,3,9,1.275,119.478
1,6,3,9,1.416,111.868
0,6,3,10,1.405,112.187
0,6,3,16,1.269,116.317
0,6,3,20,1.182,113.581
4,6,3,20,1.495,93.130
0,6,3,22,1.276,110.826
7,6,3,30,1.530,93.191
1,6,3,37,0.808,102.881
1,6,3,39,1.611,104.655
0,6,3,40,1.371,113.565
0,6,3,41,1.477,102.658
0,6,3,43,1.330,114.183
0,6,3,48,1.315,115.328
0,6,3,51,1.409,120.427
0,6,3,54,1.495,110.510
0,6,3,62,1.421,112.542
1,6,3,63,1.339,109.082
1,6,3,64,1.267,111.993
1,6,3,80,1.256,113.698
1,7,3,9,1.147,127.084
0,7,3,10,0.907,127.152
0,7,3,12,0.984,130.049
0,7,3,15,1.101,123.313
0,7,3,20,0.713,129.492
0,7,3,22,1.093,121.851
1,7,3,30,0.972,129.010
1,7,3,37,0.734,119.968
1,7,3,39,1.352,116.727
0,7,3,41,1.281,112.087
0,7,3,43,1.163,124.549
0,7,3,48,1.114,127.879
1,7,3,54,1.288,114.184
0,7,3,55,1.258,120.056
0,7,3,56,1.175,123.854
1,7,3,58,1.323,117.081
0,7,3,62,1.129,129.349
1,7,3,63,1.036,126.456
1,7,3,64,1.071,124.133
1,7,3,78,0.955,132.047
1,9,3,9,1.119,120.094
2,9,3,9,1.021,124.131
0,9,3,10,1.105,120.697
1,9,3,10,1.154,116.608
0,9,3,12,1.056,118.046
0,9,3,15,1.036,119.679
1,9,3,15,1.042,118.787
1,9,3,16,0.936,127.665
0,9,3,17,1.035,117.902
0,9,3,18,1.121,114.698
0,9,3,20,0.951,120.437
0,9,3,22,1.040,116.861
0,9,3,25,0.955,109.442
0,9,3,35,1.054,134.470
1,9,3,37,0.997,119.569
2,9,3,37,1.060,114.740
0,9,3,40,0.844,128.078
1,9,3,40,1.018,124.152
0,9,3,41,1.114,112.513
0,9,3,45,1.497,102.140
2,9,3,54,1.244,108.056
1,9,3,57,1.038,118.096
1,9,3,63,1.004,120.054
1,9,3,64,1.053,117.060
1,9,3,80,0.959,124.150
0,10,3,10,1.612,114.923
0,10,3,15,1.167,112.206
0,10,3,16,1.005,123.150
0,10,3,18,1.299,106.052
0,10,3,20,1.019,115.213
4,10,3,20,1.338,92.724
0,10,3,22,1.076,113.651
7,10,3,30,1.438,90.508
0,10,3,35,1.223,122.649
1,10,3,37,1.101,112.495
1,10,3,39,1.434,104.419
0,10,3,40,1.093,119.697
0,10,3,43,1.144,115.929
0,10,3,51,1.375,114.685
0,10,3,55,1.286,109.590
0,10,3,56,1.200,113.168
1,10,3,63,1.075,114.623
1,10,3,64,1.098,113.233
1,10,3,78,1.182,109.543
0,11,3,40,1.296,113.244
0,11,3,75,0.850,120.964
0,12,3,40,1.095,115.284
1,12,3,63,0.965,117.217
0,12,3,74,1.110,116.502
0,15,3,15,1.109,115.620
0,15,3,16,0.981,124.329
0,15,3,17,1.191,110.607
0,15,3,18,1.061,118.034
4,15,3,20,1.345,91.041
1,15,3,30,1.026,113.753
1,15,3,37,1.037,113.305
0,15,3,40,1.066,117.388
1,15,3,57,0.896,122.260
0,15,3,67,1.407,102.583
0,15,3,74,1.076,119.117
1,16,3,30,0.991,117.695
0,16,3,35,1.030,130.230
1,16,3,37,0.934,121.415
1,16,3,39,1.004,123.196
0,16,3,62,0.963,126.347
1,16,3,63,1.006,117.454
1,16,3,64,1.064,114.110
0,17,3,17,0.939,123.528
1,18,3,37,0.948,118.188
4,20,3,20,1.495,94.800
4,20,3,22,1.286,89.459
7,20,3,37,1.282,89.733
4,20,3,43,1.384,90.526
0,22,3,22,0.932,115.334
4,22,3,22,1.496,83.915
1,22,3,37,0.940,114.995
1,25,3,37,0.677,123.404
0,25,3,67,0.661,131.520
2,37,3,37,0.933,115.566
1,37,3,40,0.987,118.790
1,37,3,41,0.864,119.565
1,37,3,43,1.125,110.383
1,37,3,45,1.120,110.268
1,37,3,54,1.033,117.645
1,37,3,62,1.085,114.132
2,37,3,63,0.934,116.163
2,37,3,64,0.955,114.701
1,37,3,67,1.084,114.460
2,39,3,39,1.231,112.582
0,40,3,40,1.146,117.002
1,40,3,63,0.888,126.089
1,40,3,64,1.145,110.889
0,40,3,75,0.790,122.163
0,45,3,53,1.382,105.849
1,55,3,64,1.267,104.747
2,64,3,64,0.989,113.280
0,0,4,0,0.000,180.000
1,0,4,0,0.000,180.000
0,1,4,4,0.423,180.000
0,1,4,42,0.463,180.000
0,2,4,2,0.442,180.000
1,2,4,4,0.432,180.000
0,2,4,30,0.444,180.000
1,2,4,42,0.474,180.000
1,3,4,4,0.427,180.000
1,3,4,42,0.469,180.000
0,4,4,5,0.281,180.000
0,4,4,6,0.551,180.000
0,4,4,10,0.486,180.000
1,4,4,37,0.430,180.000
0,7,4,9,0.648,180.000
1,9,4,42,0.537,180.000
0,15,4,42,0.487,180.000
0,20,4,42,0.469,180.000
0,22,4,42,0.472,180.000
1,37,4,42,0.472,180.000
0,42,4,43,0.541,180.000
1,42,4,63,0.474,180.000
1,42,4,64,0.473,180.000
0,0,6,0,0.000,110.400
3,0,6,0,0.000,57.900
4,0,6,0,0.000,90.200
0,1,6,1,1.197,106.926
0,1,6,2,0.967,103.614
0,1,6,3,0.923,108.055
0,1,6,6,1.884,103.905
0,1,6,8,1.629,105.422
0,1,6,9,1.628,106.496
0,1,6,10,1.656,105.317
0,1,6,15,1.480,111.230
0,1,6,17,1.493,111.951
0,1,6,18,1.370,116.346
0,1,6,19,1.093,114.943
0,1,6,20,1.316,112.833
0,1,6,21,0.793,106.503
0,1,6,22,1.391,109.759
0,1,6,25,1.095,115.581
0,1,6,26,1.170,112.081
0,1,6,37,1.075,102.846
0,1,6,40,1.719,103.733
0,1,6,41,1.454,109.046
0,1,6,43,1.642,105.462
0,1,6,45,1.642,105.875
0,1,6,63,1.449,109.545
0,1,6,64,1.512,106.848
0,2,6,2,1.354,113.339
0,2,6,3,0.671,98.438
0,2,6,18,1.365,117.169
0,2,6,25,1.025,120.078
0,2,6,29,0.816,105.727
0,2,6,37,1.418,110.694
0,2,6,57,1.341,114.785
0,3,6,3,1.455,110.067
0,3,6,4,1.409,112.404
0,3,6,8,1.648,105.872
0,3,6,10,1.596,108.437
0,3,6,18,1.274,121.468
0,3,6,19,1.019,119.840
0,3,6,20,1.379,111.381
4,3,6,20,1.748,91.216
0,3,6,22,1.328,113.491
0,3,6,24,0.583,111.948
0,3,6,25,1.006,121.410
0,3,6,29,0.876,111.417
0,3,6,37,0.614,95.300
0,3,6,64,1.424,111.483
0,4,6,18,1.423,115.233
0,6,6,21,1.362,95.697
0,8,6,21,0.832,99.409
0,9,6,21,1.115,101.592
0,10,6,21,0.923,99.688
0,18,6,18,1.334,125.242
0,18,6,33,0.812,115.364
0,18,6,37,1.429,114.473
0,18,6,39,1.558,114.152
0,18,6,43,1.710,108.479
0,19,6,19,0.642,141.096
0,19,6,21,0.597,118.204
0,19,6,37,0.941,124.421
4,20,6,20,1.339,89.100
0,20,6,21,0.944,104.587
0,20,6,37,1.394,110.394
0,21,6,40,1.124,101.417
0,21,6,43,1.058,103.253
0,21,6,54,1.175,100.000
0,21,6,55,1.139,101.000
3,22,6,22,0.242,58.680
3,22,6,43,0.279,57.087
0,24,6,25,0.607,118.533
0,25,6,25,0.777,129.375
0,25,6,37,1.099,115.923
0,26,6,37,1.090,116.692
0,29,6,30,0.986,108.000
0,29,6,37,0.726,105.409
0,29,6,64,0.923,108.922
0,37,6,37,1.462,108.967
0,37,6,58,1.607,108.274
0,0,8,0,0.000,110.400
3,0,8,0,0.000,58.500
4,0,8,0,0.000,95.000
0,1,8,1,1.090,107.018
0,1,8,6,1.297,102.829
0,1,8,8,1.347,105.708
0,1,8,9,1.182,114.240
0,1,8,10,1.307,108.079
0,1,8,15,1.085,118.283
0,1,8,17,1.096,117.478
0,1,8,19,0.779,122.759
0,1,8,20,1.221,105.873
0,1,8,22,1.147,109.200
0,1,8,23,0.763,109.062
0,1,8,25,0.865,117.482
0,1,8,26,0.926,112.630
0,1,8,40,1.363,105.609
0,1,8,45,1.266,110.149
0,1,8,46,1.265,111.092
0,6,8,6,1.776,107.296
0,6,8,17,1.664,105.334
0,6,8,22,1.456,107.100
0,6,8,23,0.861,100.510
3,8,8,8,0.230,60.000
0,8,8,23,0.792,108.917
0,8,8,25,1.068,110.595
0,8,8,26,1.047,110.816
0,9,8,23,0.832,108.864
4,10,8,20,1.805,84.690
0,10,8,23,0.846,106.788
0,12,8,22,1.227,107.439
0,15,8,19,0.845,125.674
4,17,8,17,1.198,110.056
0,17,8,23,0.647,116.842
0,19,8,23,0.542,112.000
4,20,8,20,1.103,90.370
0,20,8,23,0.684,113.359
3,22,8,22,0.209,57.087
0,22,8,23,0.697,110.033
0,22,8,25,0.896,115.361
0,23,8,23,0.595,105.998
0,23,8,25,0.510,117.000
0,23,8,26,0.553,110.959
0,23,8,34,0.808,109.000
0,23,8,39,0.757,111.820
0,23,8,40,0.819,108.120
0,23,8,43,0.857,106.222
0,23,8,55,0.868,106.000
0,23,8,56,0.876,105.092
0,0,9,0,0.000,111.500
1,0,9,0,0.000,109.100
0,1,9,3,0.878,106.409
0,1,9,9,1.306,110.005
0,1,9,53,1.216,113.995
0,1,9,67,1.391,106.413
1,2,9,3,1.242,109.856
1,2,9,9,1.306,112.528
1,3,9,3,1.204,111.488
1,3,9,4,1.194,113.272
0,3,9,6,1.579,106.872
0,3,9,8,1.386,108.822
1,3,9,9,1.390,108.355
0,3,9,10,1.365,109.548
0,3,9,12,1.373,103.303
